Brand and Variety,Phos,Protein,Sodium,Fat,Carbs,Cals,Obtained,meal,label
NOW FRESH Grain Free Senior/Weight Management Recipe,0.5,34,0.31,15,39,3571,31-Oct-19,56.07843137,KITTENS
Young Again ZERO Mature TruCarnivore 54/24,0.5,57.9,0.31,28.8,0,4510,01-Feb-20,31.16004606,KITTENS
Young Again LID (Limited Ingredient) ZERO Mature TruCarnivore 54/25,0.52,59.5,0.38,27.4,0,4446,01-Feb-20,31.40526284,KITTENS
NOW FRESH Grain Free Fish Recipe,0.6,34,0.33,22,35,3988,31-Oct-19,47.59358289,KITTENS
Hill's Science Diet Adult Urinary Hairball Control,0.62,34.2,0.35,18.8,32.2,3681,01-Feb-20,50.51636183,KITTENS
Young Again Mature Health CalPhosMag 54/22,0.65,57.6,0.31,28.6,6,4657,01-Feb-20,31.3471251,KITTENS
Hill's Science Diet Adult Oral Care,0.66,33.5,0.39,21.1,30.6,3762,01-Feb-20,48.80809224,KITTENS
Hill's Science Diet Adult 7+ Youthful Vitality Chicken & Rice Recipe,0.67,35.4,0.39,16.5,41,3870,01-Feb-20,52.49101181,KITTENS
Hill's Science Diet Adult 7+ Chicken,0.68,32.1,0.35,21.3,38.7,4006,01-Feb-20,49.9319907,KITTENS
Hill's Science Diet Adult 11+ Indoor,0.68,34.7,0.33,20.9,29.9,3790,01-Feb-20,47.95719978,KITTENS
NOW Fresh Grain Free Adult,0.68,35.73,0.35,21.59,34,3862,31-Oct-19,46.5147813,KITTENS
Hill's Science Diet Adult 11+ Chicken,0.69,32.7,0.33,22.5,37,4089,01-Feb-20,48.35881753,KITTENS
Performatrin Ultra Grain-Free Senior Recipe,0.69,33,0.28,17,30.8,4021,21-Jan-20,53.83244207,KITTENS
Hill's Healthy Advantage Adult Oral+ Feline Nutrition,0.69,33.4,0.41,22.3,30.1,4120,01-Feb-20,47.87733949,KITTENS
Hill's Science Diet Adult 7+ Indoor,0.69,34.1,0.35,17,33.8,3593,01-Feb-20,52.85492496,KITTENS
Hill's Healthy Advantage Adult,0.69,34.2,0.48,22.7,35.7,4117,01-Feb-20,46.86091146,KITTENS
Hill's Science Diet Adult 7+ Hairball Control,0.7,33.9,0.35,19.1,31.4,3674,01-Feb-20,50.44093345,KITTENS
Hill's Science Diet Adult Chicken,0.7,35,0.45,21.4,35.2,4021,01-Feb-20,47.26301736,KITTENS
Hill's Science Diet Adult Multiple Benefit,0.72,34.6,0.41,13,37,3325,01-Feb-20,59.67096487,KITTENS
Hill's Science Diet Adult Indoor,0.76,36.1,0.55,16.1,31.7,3515,01-Feb-20,52.54555152,KITTENS
Hill's Science Diet Adult Perfect Weight,0.76,40.2,0.35,12,33.2,3409,01-Feb-20,58.20895522,KITTENS
